symbol,name_english,name_arabic,isin,exchange,country,country_code,sector_code,sector_name_english,sector_name_arabic,market_code,instrument_type,status,logo_url
2POINTZERO,Two Point Zero Group PJSC,مجموعة تو بوينت زيرو ش م ع,AEM001001019,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4602893
ABNIC,Al Buhaira National Insurance Company,شركة البحيرة الوطنية للتأمين,AEA001701019,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951434
ADAVIATION,Abu Dhabi Aviation Co,شركة طيران أبوظبي,AEA001001014,ADX,United Arab Emirates,AE,13,Consumer Discretionary,السلع الاستهلاكية التقديرية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2539477
ADCB,Abu Dhabi Commercial Bank,بنك أبوظبي التجاري,AEA000201011,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951102
ADCBRI25,ADCB Rights Issue 2025,حقوق اكتتاب أسهم بنك أبو ظبي التجاري 2025,AER01775A253,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Delisted,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951102
ADIB,Abu Dhabi Islamic Bank,مصرف أبوظبي اﻻ سﻼ مي,AEA000801018,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1077333
ADNH,Abu Dhabi National Hotels Co,أبوظبي الوطنية للفنادق,AEA000301019,ADX,United Arab Emirates,AE,13,Consumer Discretionary,السلع الاستهلاكية التقديرية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950662
ADNHC,A D N H Catering PLC,ايه دي ان اتش للتموين بي ال سي,AEE01486A245,ADX,United Arab Emirates,AE,13,Consumer Discretionary,السلع الاستهلاكية التقديرية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3289432
ADNIC,Abu Dhabi National Insurance Company,شركة ابوظبي الوطنية للتأمين,AEA001101012,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/992713
ADNOCDIST,Abu Dhabi National Oil Company For Distribution,شركة بترول أبوظبي الوطنية للتوزيع,AEA006101017,ADX,United Arab Emirates,AE,8,Energy,الطاقة,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1000007
ADNOCDRILL,ADNOC Drilling Company PJSC,شركة أدنوك للحفر ش.م.ع,AEA007301012,ADX,United Arab Emirates,AE,8,Energy,الطاقة,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2410320
ADNOCGAS,ADNOC GAS PLC,أدنوك للغاز بي أل سي,AEE01195A234,ADX,United Arab Emirates,AE,8,Energy,الطاقة,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2779776
ADNOCLS,ADNOC LOGISTICS & SERVICES PLC,شركة أدنوك للامداد والخدمات بي أل سي,AEE01268A239,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2837707
ADPORTS,Abu Dhabi Ports Company PJSC,شركة أبوظبي للموانىء ش.م.ع,AEA004601018,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2469963
ADSB,Abu Dhabi Ship Building Co,شركة أبوظبي لبناء السفن,AEA000901016,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951435
AFNIC,Al Fujairah National Insurance Company,شركة الفجيرة الوطنية للتأمين,AEA002901014,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951103
