row_num,ticker,name,exchange,stock_sector,country,country_code,isin,aliases,gics_sector_code,gics_sector_name,gics_industry_code,gics_industry_name,gics_subindustry_code,gics_subindustry_name
0,000001,Ping An Bank Co Ltd,SZSE,Financials,China,CN,CNE000000040,ping an bank,40,Financials,401010,Banks,40101010,Diversified Banks
1,000002,China Vanke Co Ltd Class A,SZSE,Real Estate,China,CN,CNE0000000T2,,60,Real Estate,602010,Real Estate Management & Development,60201030,Real Estate Development
2,000004,Shenzhen CAU Technology Co Ltd,SZSE,Financials,China,CN,CNE0000000Y2,shenzhen cau technology,45,Information Technology,451030,Software,45103020,Systems Software
3,000006,Shenzhen Zhenye Group Co Ltd,SZSE,Real Estate,China,CN,CNE000000164,shenzhen zhenye group|shenzhen zhenye,60,Real Estate,602010,Real Estate Management & Development,60201030,Real Estate Development
4,000007,ShenZhen Zero-Seven Co Ltd,SZSE,Consumer Discretionary,China,CN,CNE0000000P0,shenzhen zero-seven,25,Consumer Discretionary,253010,"Hotels, Restaurants & Leisure",25301020,"Hotels, Restaurants & Leisure"
5,000008,China High-Speed Railway Technology,SZSE,Industrials,China,CN,CNE0000001C6,china high-speed railway technology,20,Industrials,203040,Ground Transportation,20304010,Rail Transportation
6,000009,China Baoan Group Co Ltd,SZSE,Industrials,China,CN,CNE000000222,china baoan group|china baoan,20,Industrials,201050,Industrial Conglomerates,20105010,Industrial Conglomerates
7,00001,CKH HOLDINGS,HKEX,Industrials,Cayman Islands,KY,KYG217651051,ckh holdings,20,Industrials,201050,Industrial Conglomerates,20105010,Industrial Conglomerates
8,000010,Shenzhen Ecobeauty Co Ltd,SZSE,Industrials,China,CN,CNE000000156,shenzhen ecobeauty,20,Industrials,202010,Commercial Services & Supplies,20201050,Environmental & Facilities Services
9,000011,Shenzhen Properties & Resources Development Group Ltd,SZSE,Real Estate,China,CN,CNE000000248,,60,Real Estate,602010,Real Estate Management & Development,60201030,Real Estate Development
10,000012,CSG Holding Co Ltd,SZSE,Industrials,China,CN,CNE0000002R2,,15,Materials,151020,Construction Materials,15102010,Construction Materials
11,000014,Shahe Industry Co Ltd,SZSE,Real Estate,China,CN,CNE0000003G3,shahe industry,60,Real Estate,602010,Real Estate Management & Development,60201030,Real Estate Development
12,000016,Konka Group Co Ltd,SZSE,Information Technology,China,CN,CNE0000002T8,,25,Consumer Discretionary,252010,Household Durables,25201010,Consumer Electronics
13,000017,China Bicycle Co Holdings Ltd,SZSE,Consumer Discretionary,China,CN,CNE0000002Q4,,25,Consumer Discretionary,252030,"Textiles, Apparel & Luxury Goods",25203010,"Apparel, Accessories & Luxury Goods"
14,000019,Shenzhen Shenbao Industrial Co Ltd,SZSE,Consumer Staples,China,CN,CNE000000354,,30,Consumer Staples,302020,Food Products,30202030,Packaged Foods & Meats
15,00002,CLP HOLDINGS,HKEX,Utilities,Hong Kong,HK,HK0002007356,clp holdings,55,Utilities,551010,Electric Utilities,55101010,Electric Utilities
16,000021,Shenzhen Kaifa Technology Co Ltd,SZSE,Information Technology,China,CN,CNE000000FK4,shenzhen kaifa technology,45,Information Technology,452030,"Electronic Equipment, Instruments & Components",45203020,Electronic Manufacturing Services
17,000025,Shenzhen Tellus Holding Co Ltd,SZSE,Consumer Discretionary,China,CN,CNE0000008N8,,25,Consumer Discretionary,255010,Distributors,25501010,Distributors
18,000026,Fiyta Holdings Ltd,SZSE,Consumer Discretionary,China,CN,CNE000000875,,25,Consumer Discretionary,252030,"Textiles, Apparel & Luxury Goods",25203010,"Apparel, Accessories & Luxury Goods"
19,000027,Shenzhen Energy Group Co Ltd,SZSE,Utilities,China,CN,CNE000000933,shenzhen energy group|shenzhen energy,55,Utilities,551050,Independent Power and Renewable Electricity Producers,55105010,Independent Power Producers & Energy Traders
20,000028,China National Accord Medicines Corp Ltd,SZSE,Health Care,China,CN,CNE0000009N6,,35,Health Care,351020,Health Care Providers & Services,35102010,Health Care Distributors
21,000029,ShenZhen Special Economic Zone Real Estate & Properties Group Co Ltd,SZSE,Real Estate,China,CN,CNE0000009X5,shenzhen special economic zone real estate & properties group,60,Real Estate,602010,Real Estate Management & Development,60201030,Real Estate Development
22,00003,HK & CHINA GAS,HKEX,Utilities,Hong Kong,HK,HK0003000038,hk & china gas,55,Utilities,551020,Gas Utilities,55102010,Gas Utilities
23,000030,FAWER Automotive Parts Ltd Co,SZSE,Consumer Discretionary,China,CN,CNE0000009Z0,fawer automotive parts,25,Consumer Discretionary,251010,Automobile Components,25101010,Automotive Parts & Equipment
24,000031,Grandjoy Holdings Group Co Ltd,SZSE,Real Estate,China,CN,CNE000000BJ5,grandjoy holdings group|grandjoy,60,Real Estate,602010,Real Estate Management & Development,60201030,Real Estate Development
25,000032,Shenzhen Sed Industry Co Ltd,SZSE,Industrials,China,CN,CNE000000BK3,shenzhen sed industry,20,Industrials,201030,Construction & Engineering,20103010,Construction & Engineering
26,000034,Digital China Group Co Ltd,SZSE,Information Technology,China,CN,CNE000000DQ6,digital china group,45,Information Technology,452030,"Electronic Equipment, Instruments & Components",45203030,Technology Distributors
27,000035,China Tianying Inc,SZSE,Industrials,China,CN,CNE000000FN8,china tianying,20,Industrials,202010,Commercial Services & Supplies,20201050,Environmental & Facilities Services
28,000036,China Union Holdings Ltd,SZSE,Real Estate,China,CN,CNE000000G13,china union holdings|china union,60,Real Estate,602010,Real Estate Management & Development,60201010,Diversified Real Estate Activities
29,000037,Shenzhen Nanshan Power Co Ltd,SZSE,Utilities,China,CN,CNE000000G62,,55,Utilities,551010,Electric Utilities,55101010,Electric Utilities
30,000039,China International Marine Containers Group Ltd,SZSE,Industrials,China,CN,CNE000000644,china international marine containers group|china international marine containers,20,Industrials,201060,Machinery,20106020,Industrial Machinery & Supplies & Components
31,00004,WHARF HOLDINGS,HKEX,Real Estate,Hong Kong,HK,HK0004000045,wharf holdings,60,Real Estate,602010,Real Estate Management & Development,60201010,Diversified Real Estate Activities
32,000040,KR Motors Co. Ltd.,KRX,Consumer Discretionary,South Korea,KR,KR7000040006,kr motors,25,Consumer Discretionary,251020,Automobiles,25102020,Motorcycle Manufacturers
33,000042,Shenzhen Centralcon Investment Holding Co Ltd,SZSE,Real Estate,China,CN,CNE000000H53,shenzhen centralcon investment holding|shenzhen centralcon investment,60,Real Estate,602010,Real Estate Management & Development,60201030,Real Estate Development
34,000045,Shenzhen Textile Holdings Co Ltd,SZSE,Information Technology,China,CN,CNE000000H61,,45,Information Technology,452030,"Electronic Equipment, Instruments & Components",45203015,Electronic Components
35,000048,ShenZhen Kondarl Group Co Ltd,SZSE,Consumer Staples,China,CN,CNE000000HD5,shenzhen kondarl group|shenzhen kondarl,30,Consumer Staples,302020,Food Products,30202030,Packaged Foods & Meats
36,000049,Shenzhen Desay Battery Technology Co Ltd,SZSE,Industrials,China,CN,CNE0000000F1,shenzhen desay battery technology,20,Industrials,201040,Electrical Equipment,20104010,Electrical Components & Equipment
37,000055,China Fangda Group Co Ltd,SZSE,Industrials,China,CN,CNE000000JY7,,20,Industrials,201020,Building Products,20102010,Building Products
38,000056,Shenzhen Wongtee International Enterprise Co Ltd,SZSE,Real Estate,China,CN,CNE000000297,,60,Real Estate,602010,Real Estate Management & Development,60201020,Real Estate Operating Companies
39,000058,Shenzhen SEG Co Ltd,SZSE,Industrials,China,CN,CNE000000NR3,,60,Real Estate,602010,Real Estate Management & Development,60201020,Real Estate Operating Companies
40,000059,North Huajin Chemical Industries Co Ltd,SZSE,Materials,China,CN,CNE000000NY9,north huajin chemical industries,15,Materials,151010,Chemicals,15101010,Commodity Chemicals
41,00006,POWER ASSETS,HKEX,Utilities,Hong Kong,HK,HK0006000050,power assets,55,Utilities,551010,Electric Utilities,55101010,Electric Utilities
42,000060,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd,SZSE,Materials,China,CN,CNE000000FS7,shenzhen zhongjin lingnan nonfemet,15,Materials,151040,Metals & Mining,15104020,Diversified Metals & Mining
43,000061,Shenzhen Agricultural Products Co Ltd,SZSE,Consumer Staples,China,CN,CNE0000008V1,shenzhen agricultural products,30,Consumer Staples,301010,Consumer Staples Distribution & Retail,30101020,Food Distributors
44,000062,Shenzhen Huaqiang Industry Co Ltd,SZSE,Information Technology,China,CN,CNE0000008R9,shenzhen huaqiang industry,45,Information Technology,452030,"Electronic Equipment, Instruments & Components",45203030,Technology Distributors
45,000063,ZTE Corp,SZSE,Information Technology,China,CN,CNE000000TK5,,45,Information Technology,452010,Communications Equipment,45201020,Communications Equipment
46,000065,NORINCO International Cooperation Ltd,SZSE,Industrials,China,CN,CNE000000VZ9,norinco international cooperation,20,Industrials,201030,Construction & Engineering,20103010,Construction & Engineering
47,000066,China Greatwall Computer Shenzhen Co Ltd,SZSE,Information Technology,China,CN,CNE000000RL7,china greatwall computer shenzhen,45,Information Technology,452020,"Technology Hardware, Storage & Peripherals",45202030,"Technology Hardware, Storage & Peripherals"
48,000068,Shenzhen Huakong Seg Co Ltd,SZSE,Information Technology,China,CN,CNE000000QV8,shenzhen huakong seg,45,Information Technology,452030,"Electronic Equipment, Instruments & Components",45203015,Electronic Components
49,000069,Shenzhen Overseas Chinese Town Co Ltd,SZSE,Real Estate,China,CN,CNE000000SS0,shenzhen overseas chinese town,60,Real Estate,602010,Real Estate Management & Development,60201030,Real Estate Development
50,00007,WISDOM WEALTH,HKEX,Information Technology,Bermuda,BM,BMG4643R1245,wisdom wealth,20,Industrials,201070,Trading Companies & Distributors,20107010,Trading Companies & Distributors
51,000070,Samyang Holdings,KRX,Financials,South Korea,KR,KR7000070003,samyang holdings,30,Consumer Staples,302020,Food Products,30202030,Packaged Foods & Meats
52,000078,Shenzhen Neptunus Bioengineering Co Ltd,SZSE,Health Care,China,CN,CNE000000X95,shenzhen neptunus bioengineering,35,Health Care,351020,Health Care Providers & Services,35102010,Health Care Distributors
53,00008,PCCW,HKEX,Communication Services,Hong Kong,HK,HK0008011667,,50,Communication Services,501010,Diversified Telecommunication Services,50101020,Integrated Telecommunication Services
54,000080,Hite Jinro,KRX,Consumer Staples,South Korea,KR,KR7000080002,hite jinro,30,Consumer Staples,302010,Beverages,30201020,Distillers & Vintners
55,000088,Shenzhen Yan Tian Port Holdings Co Ltd,SZSE,Industrials,China,CN,CNE000000SF7,shenzhen yan tian port holdings|shenzhen yan tian port,20,Industrials,203050,Transportation Infrastructure,20305020,Highways & Railtracks
56,000089,Shenzhen Airport Co Ltd,SZSE,Industrials,China,CN,CNE000000VK1,shenzhen airport,20,Industrials,203050,Transportation Infrastructure,20305010,Airport Services
57,000090,Shenzhen Tagen Group Co Ltd,SZSE,Industrials,China,CN,CNE000000F89,shenzhen tagen group|shenzhen tagen,20,Industrials,201030,Construction & Engineering,20103010,Construction & Engineering
58,000096,Shenzhen Guangju Energy Co Ltd,SZSE,Energy,China,CN,CNE000001410,shenzhen guangju energy,10,Energy,101020,"Oil, Gas & Consumable Fuels",10102030,Oil & Gas Refining & Marketing
59,000099,Citic Offshore Helicopter Co Ltd,SZSE,Industrials,China,CN,CNE0000013Q1,citic offshore helicopter,20,Industrials,203010,Air Freight & Logistics,20301010,Air Freight & Logistics
60,0001,Supercomnet Technologies Bhd,Bursa,Health Care,Malaysia,MY,MYQ0001OO006,supercomnet technologies|supercomnet,20,Industrials,201040,Electrical Equipment,20104010,Electrical Components & Equipment
61,00010,HANG LUNG GROUP,HKEX,Real Estate,Hong Kong,HK,HK0010000088,hang lung group,60,Real Estate,602010,Real Estate Management & Development,60201020,Real Estate Operating Companies
62,000100,YUHAN,KRX,Health Care,South Korea,KR,KR7000100008,yuhan,35,Health Care,352020,Pharmaceuticals,35202010,Pharmaceuticals
63,00012,HENDERSON LAND,HKEX,Real Estate,Hong Kong,HK,HK0012000102,henderson land,60,Real Estate,602010,Real Estate Management & Development,60201030,Real Estate Development
64,000120,CJ Korea Express,KRX,Industrials,South Korea,KR,KR7000120006,cj korea express,20,Industrials,203010,Air Freight & Logistics,20301010,Air Freight & Logistics
65,00014,HYSAN DEV,HKEX,Real Estate,Hong Kong,HK,HK0014000126,hysan dev,60,Real Estate,602010,Real Estate Management & Development,60201020,Real Estate Operating Companies
66,000140,Hitejinro Holdings,KRX,Consumer Staples,South Korea,KR,KR7000140004,hitejinro holdings|hitejinro,30,Consumer Staples,302010,Beverages,30201010,Brewers
67,000150,Doosan,KRX,Industrials,South Korea,KR,KR7000150003,doosan,20,Industrials,201050,Industrial Conglomerates,20105010,Industrial Conglomerates
68,000151,China National Complete Plant Import & Export Corp Ltd,SZSE,Industrials,China,CN,CNE0000014J4,china national complete plant import & export,20,Industrials,201070,Trading Companies & Distributors,20107010,Trading Companies & Distributors
69,000153,Anhui Fengyuan Pharmaceutical Co Ltd,SZSE,Health Care,China,CN,CNE0000014X5,anhui fengyuan pharmaceutical|anhui fengyuan,35,Health Care,352020,Pharmaceuticals,35202010,Pharmaceuticals
70,000156,Wasu Media Holding Co Ltd,SZSE,Communication Services,China,CN,CNE0000014L0,wasu media holding|wasu media,50,Communication Services,502010,Media,50201030,Cable & Satellite
