eq_id,shareClassFIGI,legal_name
EQ0000001,BBG001S0S611,DATELINE RESOURCES LTD
EQ0000002,BBG001S0S657,DIGITAL MEDIA PROFESSIONALS
EQ0000003,BBG001S112S8,HEXATRONIC GROUP AB
EQ0000004,BBG001S112Y1,ARCHER
EQ0000005,BBG001S112Z0,ECONOCOM GROUP
EQ0000006,BBG001S11324,FUTURE METALS NL
EQ0000007,BBG001S11351,ZAMBEEF PRODUCTS PLC
EQ0000008,BBG001S168Y3,CHINA INTELLIGENCE INFORMATI
EQ0000009,BBG001S16908,INNOVATE CORP
EQ0000010,BBG001S16971,AUDIO PIXELS HOLDINGS LTD
EQ0000011,BBG001S169N3,GREEN MINING INNOVATION INC
EQ0000012,BBG001S169P1,MARATHON PETROLEUM CORP
EQ0000013,BBG001S16LK9,BOULE DIAGNOSTICS INTERNATIO
EQ0000014,BBG001S21FM3,SYNERTEC CORP LTD
EQ0000015,BBG001S26WK3,ADVANTEST CORP- SPON ADR
EQ0000016,BBG001S2C4J0,CAMEL GROUP CO LTD-A
EQ0000017,BBG001S2C534,JIANGYIN ZHONGNAN HEAVY IN-A
EQ0000018,BBG001S2CK04,PRADA S.P.A.
EQ0000019,BBG001S2TZ30,CLAROCITY CORP
EQ0000020,BBG001S2WTG6,ST-GEORGES ECO-MINING CORP
EQ0000021,BBG001S2XSC1,CANADIAN CHROME COMPANY INC/
EQ0000022,BBG001S2YW77,ISMAILIA DEVELOPMENT AND REA
EQ0000023,BBG001S35TP4,JIAYUN TECHNOLOGY INC-A
EQ0000024,BBG001S36138,YUNNAN COAL ENERGY CO LTD-A
EQ0000025,BBG001S361F5,SHANGHAI BAILIAN GROUP CO-A
EQ0000026,BBG001S36GT7,SHENZHEN REFOND OPTOELECTR-A
EQ0000027,BBG001S37146,ACC BINH DUONG INVESTMENT AN
EQ0000028,BBG001S371S0,COURAGE INVESTMENT GROUP LTD
EQ0000029,BBG001S371V6,EAT&HOLDINGS CO LTD
EQ0000030,BBG001S372D4,ALCIDION GROUP LTD
EQ0000031,BBG001S37315,SEOYON TOPMETAL CO LTD
EQ0000032,BBG001S3CM26,JINBEI AUTOMOTIVE CO LTD-A
EQ0000033,BBG001S3D899,WUHAN XIANGLONG POWER IND-A
EQ0000034,BBG001S3F8M2,AUTONEUM HOLDING AG
EQ0000035,BBG001S3FBF3,ENEOS HOLDINGS INC
EQ0000036,BBG001S3J6K4,SARAY MATBAACILIK KAGITCILIK
EQ0000037,BBG001S3RD02,SUBAYE INC
EQ0000038,BBG001S3RD11,ENERGY TODAY INC
EQ0000039,BBG001S445N7,XINHUA NEWS MEDIA HOLDINGS L
EQ0000040,BBG001S44RT3,SICHUAN HEXIE SHUANGMA CO-A
EQ0000041,BBG001S50HF1,NORTHERN STAR RESOURCES LTD
EQ0000042,BBG001S53G97,BEST FOOD HOLDING COMPANY LT
EQ0000043,BBG001S58925,SHANGHAI BAILIAN GROUP CO-B
EQ0000044,BBG001S58BG5,LUPAKA GOLD CORP
EQ0000045,BBG001S58GP4,WINSTEK SEMICONDUCTOR CO LTD
EQ0000046,BBG001S58L91,FINBAR GROUP LTD
EQ0000047,BBG001S5N8T1,ATLANTIC AMERICAN CORP
EQ0000048,BBG001S5N8V8,APPLE INC
EQ0000049,BBG001S5N964,RINO INTERNATIONAL CORP
EQ0000050,BBG001S5N991,AMERICAN BILTRITE INC
EQ0000051,BBG001S5N9B8,ABM INDUSTRIES INC
EQ0000052,BBG001S5N9D6,SWOOP HOLDINGS LTD
EQ0000053,BBG001S5N9M6,ABBOTT LABORATORIES
EQ0000054,BBG001S5N9N5,CONSERVAS ODERICH SA
EQ0000055,BBG001S5N9P3,BARRICK MINING CORP
EQ0000056,BBG001S5N9S0,ALLIANCEBERNSTEIN HOLDING LP
EQ0000057,BBG001S5NB14,ITOCHU CORP
EQ0000058,BBG001S5NB50,CULLEN RESOURCES LTD
EQ0000059,BBG001S5NBN0,WOODSIDE ENERGY GROUP LTD
EQ0000060,BBG001S5NBP8,ACMAT CORP
EQ0000062,BBG001S5NBT4,ICAHN ENTERPRISES LP
EQ0000063,BBG001S5NBV1,CORUS ENTERTAINMENT INC-B SH
EQ0000064,BBG001S5NCC0,ACME UNITED CORP
EQ0000065,BBG001S5NCJ3,LIVERAMP HOLDINGS INC
EQ0000066,BBG001S5NCQ5,ADOBE INC
EQ0000067,BBG001S5ND38,ANALOG DEVICES INC
EQ0000068,BBG001S5ND74,ARCHER-DANIELS-MIDLAND CO
EQ0000069,BBG001S5ND92,GLOBALTECH HOLDINGS INC
EQ0000071,BBG001S5NF24,AMEREN CORPORATION
EQ0000072,BBG001S5NF60,ABLE ENERGY INC
EQ0000073,BBG001S5NFD2,AMERICAN ELECTRIC POWER
EQ0000074,BBG001S5NG13,SURGUTNEFTEGAS PJSC
EQ0000075,BBG001S5NG22,CACHE INC
EQ0000076,BBG001S5NGH6,HATHWAY BHAWANI CABLETEL & D
EQ0000077,BBG001S5NGJ4,AFLAC INC
EQ0000078,BBG001S5NGN9,GRUPO MEXICANO DE DESARROLLO
EQ0000079,BBG001S5NGY7,KOLORFUSION INTL INC
EQ0000080,BBG001S5NH75,KPJ HEALTHCARE BERHAD
EQ0000081,BBG001S5NHB0,ATLANTIS PLASTICS INC-CL A
